Ticker,AGG,DBC,DFJ,EEM,SCZ,GDX,GLD,IEF,IJR,IJH,IVV,LQD,PPA,SHY,TIP,TLT,VEDTX,VAW,VDC,VDE,VEURX,VGSIX,VPACX,VPU,Annualized Return,Daily Standard Deviation,Monthly Standard Deviation,Annualized Standard Deviation,Name
SHY,0.45,-0.19,-0.22,-0.33,-0.27,0.08,0.21,0.72,-0.33,-0.34,-0.37,0.22,-0.32,1,0.53,0.55,0.52,-0.33,-0.26,-0.3,-0.31,-0.25,-0.28,-0.19,1.46%,0.08%,0.34%,1.17%,iShares 1-3 Year Treasury Bond ETF
TIP,0.62,0.02,-0.08,-0.13,-0.09,0.18,0.27,0.73,-0.17,-0.16,-0.18,0.45,-0.17,0.53,1,0.68,0.64,-0.14,-0.16,-0.09,-0.11,-0.12,-0.09,-0.06,4.13%,0.40%,1.62%,5.61%,iShares TIPS Bond ETF
TLT,0.62,-0.28,-0.28,-0.36,-0.37,0.06,0.16,0.91,-0.42,-0.43,-0.43,0.43,-0.41,0.55,0.68,1,0.98,-0.42,-0.33,-0.39,-0.4,-0.25,-0.35,-0.22,6.54%,0.95%,4.01%,13.91%,iShares 20+ Year Treasury Bond ETF
VEDTX,0.58,-0.28,-0.26,-0.36,-0.36,0.03,0.14,0.89,-0.41,-0.42,-0.42,0.41,-0.4,0.52,0.64,0.98,1,-0.41,-0.32,-0.39,-0.4,-0.25,-0.34,-0.22,8.29%,1.42%,6.10%,21.12%,Vanguard Extended Duration Trs Idx Instl
VAW,-0.08,0.55,0.65,0.82,0.81,0.4,0.16,-0.4,0.87,0.91,0.89,0.12,0.83,-0.33,-0.14,-0.42,-0.41,1,0.71,0.82,0.83,0.7,0.8,0.63,7.81%,1.63%,6.31%,21.86%,Vanguard Materials ETF
VDC,-0.04,0.32,0.6,0.69,0.69,0.2,0.02,-0.32,0.73,0.78,0.85,0.14,0.75,-0.26,-0.16,-0.33,-0.32,0.71,1,0.61,0.71,0.66,0.72,0.77,9.74%,0.96%,3.49%,12.07%,Vanguard Consumer Staples ETF
VDE,-0.04,0.66,0.58,0.74,0.72,0.34,0.12,-0.37,0.76,0.8,0.78,0.12,0.73,-0.3,-0.09,-0.39,-0.39,0.82,0.61,1,0.75,0.56,0.72,0.57,0.14%,2.02%,8.08%,27.98%,Vanguard Energy ETF
VEURX,-0.05,0.53,0.69,0.85,0.9,0.32,0.13,-0.38,0.79,0.83,0.86,0.17,0.79,-0.31,-0.11,-0.4,-0.4,0.83,0.71,0.75,1,0.67,0.85,0.63,2.61%,1.49%,5.78%,20.02%,Vanguard European Stock Index Investor
VGSIX,-0.08,0.33,0.51,0.68,0.68,0.2,0.03,-0.26,0.77,0.79,0.77,0.13,0.69,-0.25,-0.12,-0.25,-0.25,0.7,0.66,0.56,0.67,1,0.63,0.62,8.04%,2.10%,6.68%,23.14%,Vanguard Real Estate Index Investor
VPACX,-0.01,0.47,0.84,0.85,0.86,0.3,0.11,-0.33,0.76,0.81,0.85,0.2,0.75,-0.28,-0.09,-0.35,-0.34,0.8,0.72,0.72,0.85,0.63,1,0.64,3.37%,1.23%,4.71%,16.31%,Vanguard Pacific Stock Index Investor
VPU,0.06,0.31,0.53,0.61,0.6,0.26,0.09,-0.2,0.61,0.68,0.72,0.23,0.65,-0.19,-0.06,-0.22,-0.22,0.63,0.77,0.57,0.63,0.62,0.64,1,7.27%,1.23%,4.03%,13.97%,Vanguard Utilities ETF
