Ticker,AGG,DBC,DFJ,EEM,FIASX,GDX,GLD,IEF,IJR,IJH,IVV,LQD,PPA,SHY,TIP,TLT,VAW,VDC,VDE,VEURX,VGSIX,VPACX,VPU,Annualized Return,Daily Standard Deviation,Monthly Standard Deviation,Annualized Standard Deviation,Name
IVV,-0.09,0.44,0.64,0.85,0.79,0.26,0.04,-0.43,0.89,0.94,1,0.13,0.88,-0.37,-0.19,-0.43,0.89,0.85,0.78,0.86,0.77,0.84,0.72,11.00%,1.25%,4.35%,15.07%,iShares Core S&P 500 ETF
LQD,0.62,0.09,0.12,0.15,0.19,0.15,0.12,0.45,0.09,0.12,0.13,1,0.11,0.24,0.46,0.44,0.11,0.13,0.11,0.15,0.12,0.19,0.22,5.80%,0.55%,2.14%,7.41%,iShares iBoxx $ Invmt Grade Corp Bd ETF
PPA,-0.11,0.39,0.58,0.73,0.73,0.22,0.03,-0.4,0.87,0.89,0.88,0.11,1,-0.32,-0.18,-0.41,0.83,0.75,0.72,0.79,0.68,0.75,0.65,11.38%,1.36%,5.38%,18.65%,Invesco Aerospace&Defense ETF
SHY,0.47,-0.17,-0.2,-0.34,-0.26,0.05,0.17,0.72,-0.33,-0.34,-0.37,0.24,-0.32,1,0.55,0.55,-0.33,-0.27,-0.29,-0.31,-0.25,-0.28,-0.2,1.99%,0.08%,0.37%,1.27%,iShares 1-3 Year Treasury Bond ETF
TIP,0.63,0.03,-0.07,-0.14,-0.05,0.16,0.25,0.74,-0.17,-0.16,-0.19,0.46,-0.18,0.55,1,0.68,-0.14,-0.16,-0.09,-0.12,-0.13,-0.1,-0.07,4.56%,0.39%,1.61%,5.56%,iShares TIPS Bond ETF
TLT,0.63,-0.27,-0.24,-0.35,-0.35,0.05,0.15,0.91,-0.41,-0.42,-0.43,0.44,-0.41,0.55,0.68,1,-0.41,-0.33,-0.38,-0.4,-0.25,-0.34,-0.22,6.91%,0.92%,3.88%,13.44%,iShares 20+ Year Treasury Bond ETF
VAW,-0.09,0.53,0.59,0.82,0.78,0.42,0.18,-0.4,0.86,0.91,0.89,0.11,0.83,-0.33,-0.14,-0.41,1,0.72,0.82,0.83,0.69,0.79,0.63,9.62%,1.60%,6.11%,21.18%,Vanguard Materials ETF
VDC,-0.05,0.3,0.55,0.69,0.65,0.21,0.03,-0.32,0.74,0.78,0.85,0.13,0.75,-0.27,-0.16,-0.33,0.72,1,0.6,0.72,0.66,0.72,0.76,10.52%,0.93%,3.37%,11.69%,Vanguard Consumer Staples ETF
VDE,-0.05,0.65,0.53,0.73,0.72,0.36,0.15,-0.36,0.76,0.8,0.78,0.11,0.72,-0.29,-0.09,-0.38,0.82,0.6,1,0.75,0.56,0.71,0.57,2.81%,1.97%,7.81%,27.06%,Vanguard Energy ETF
VEURX,-0.05,0.51,0.64,0.85,0.9,0.34,0.15,-0.38,0.79,0.83,0.86,0.15,0.79,-0.31,-0.12,-0.4,0.83,0.72,0.75,1,0.67,0.84,0.63,5.06%,1.46%,5.58%,19.31%,Vanguard European Stock Index Investor
VGSIX,-0.09,0.3,0.47,0.67,0.59,0.21,0.04,-0.26,0.77,0.79,0.77,0.12,0.68,-0.25,-0.13,-0.25,0.69,0.66,0.56,0.67,1,0.62,0.62,7.90%,2.04%,6.58%,22.78%,Vanguard Real Estate Index Investor
VPACX,-0.01,0.45,0.77,0.84,0.88,0.32,0.13,-0.33,0.76,0.8,0.84,0.19,0.75,-0.28,-0.1,-0.34,0.79,0.72,0.71,0.84,0.62,1,0.63,4.79%,1.22%,4.54%,15.71%,Vanguard Pacific Stock Index Investor
VPU,0.05,0.29,0.49,0.61,0.59,0.27,0.1,-0.2,0.61,0.68,0.72,0.22,0.65,-0.2,-0.07,-0.22,0.63,0.76,0.57,0.63,0.62,0.63,1,8.89%,1.21%,3.98%,13.80%,Vanguard Utilities ETF
