Ticker,AFK,AGG,BWX,DBC,DFJ,EEM,EMB,GDX,GLD,IEF,IJR,IJH,IVV,LQD,LTPZ,PPA,RWO,SCZ,SHY,STPZ,TIP,TLT,VAW,VDC,VDE,VEURX,VGSIX,VNM,VPACX,VPU,Annualized Return,Daily Standard Deviation,Monthly Standard Deviation,Annualized Standard Deviation,Name
LTPZ,-0.1,0.72,0.31,-0.07,-0.12,-0.14,0.24,0.18,0.27,0.77,-0.22,-0.22,-0.24,0.62,1,-0.22,-0.09,-0.16,0.49,0.59,0.9,0.8,-0.22,-0.17,-0.16,-0.18,-0.07,-0.1,-0.15,-0.06,7.50%,0.84%,3.03%,10.51%,PIMCO 15+ Year US TIPS ETF
PPA,0.59,-0.11,0.11,0.41,0.62,0.71,0.44,0.16,0.02,-0.4,0.87,0.89,0.87,0.1,-0.22,1,0.76,0.78,-0.26,0.09,-0.15,-0.42,0.84,0.72,0.72,0.77,0.71,0.49,0.73,0.6,15.25%,1.25%,5.00%,17.34%,Invesco Aerospace&Defense ETF
RWO,0.61,0.03,0.29,0.43,0.62,0.74,0.54,0.24,0.13,-0.26,0.79,0.83,0.81,0.23,-0.09,0.76,1,0.81,-0.14,0.18,-0.02,-0.29,0.76,0.71,0.65,0.78,0.94,0.49,0.75,0.7,9.49%,1.20%,4.60%,15.95%,SPDR Dow Jones Global Real Estate ETF
SCZ,0.7,-0.06,0.32,0.51,0.79,0.85,0.52,0.27,0.14,-0.37,0.79,0.83,0.86,0.14,-0.16,0.78,0.81,1,-0.23,0.15,-0.09,-0.4,0.82,0.68,0.7,0.93,0.7,0.55,0.89,0.55,9.71%,1.17%,4.70%,16.27%,iShares MSCI EAFE Small-Cap ETF
SHY,-0.17,0.61,0.34,-0.16,-0.19,-0.21,0.06,0.18,0.26,0.73,-0.28,-0.28,-0.31,0.42,0.49,-0.26,-0.14,-0.23,1,0.48,0.56,0.57,-0.26,-0.19,-0.24,-0.23,-0.12,-0.16,-0.21,-0.05,1.13%,0.06%,0.27%,0.95%,iShares 1-3 Year Treasury Bond ETF
STPZ,0.17,0.55,0.33,0.26,0.09,0.15,0.43,0.24,0.3,0.46,0.09,0.12,0.08,0.48,0.59,0.09,0.18,0.15,0.48,1,0.77,0.35,0.11,0.07,0.21,0.15,0.18,0.09,0.13,0.13,2.33%,0.15%,0.63%,2.19%,PIMCO 1-5 Year US TIPS ETF
TIP,-0.01,0.71,0.35,0.05,-0.07,-0.07,0.33,0.23,0.32,0.76,-0.15,-0.14,-0.17,0.6,0.9,-0.15,-0.02,-0.09,0.56,0.77,1,0.72,-0.13,-0.13,-0.05,-0.1,-0.01,-0.05,-0.08,-0.02,4.23%,0.34%,1.30%,4.50%,iShares TIPS Bond ETF
TLT,-0.28,0.77,0.26,-0.27,-0.29,-0.37,0.06,0.11,0.2,0.92,-0.43,-0.44,-0.45,0.58,0.8,-0.42,-0.29,-0.4,0.57,0.35,0.72,1,-0.44,-0.32,-0.39,-0.42,-0.25,-0.24,-0.37,-0.18,6.63%,0.91%,3.71%,12.84%,iShares 20+ Year Treasury Bond ETF
VAW,0.68,-0.11,0.18,0.53,0.64,0.79,0.46,0.32,0.15,-0.41,0.87,0.91,0.89,0.07,-0.22,0.84,0.76,0.82,-0.26,0.11,-0.13,-0.44,1,0.7,0.79,0.81,0.71,0.54,0.77,0.57,12.13%,1.36%,5.59%,19.37%,Vanguard Materials ETF
VDC,0.52,-0.04,0.11,0.32,0.58,0.63,0.42,0.17,0.06,-0.3,0.69,0.74,0.83,0.13,-0.17,0.72,0.71,0.68,-0.19,0.07,-0.13,-0.32,0.7,1,0.55,0.67,0.71,0.43,0.68,0.75,12.52%,0.86%,3.22%,11.16%,Vanguard Consumer Staples ETF
VDE,0.61,-0.09,0.15,0.66,0.54,0.67,0.46,0.24,0.08,-0.36,0.77,0.79,0.75,0.06,-0.16,0.72,0.65,0.7,-0.24,0.21,-0.05,-0.39,0.79,0.55,1,0.7,0.58,0.47,0.67,0.46,3.57%,1.76%,7.86%,27.22%,Vanguard Energy ETF
VEURX,0.68,-0.08,0.35,0.52,0.67,0.83,0.51,0.26,0.13,-0.39,0.77,0.81,0.84,0.11,-0.18,0.77,0.78,0.93,-0.23,0.15,-0.1,-0.42,0.81,0.67,0.7,1,0.67,0.53,0.82,0.54,7.05%,1.25%,5.00%,17.33%,Vanguard European Stock Index Investor
VGSIX,0.52,0.05,0.2,0.36,0.54,0.65,0.49,0.2,0.1,-0.21,0.75,0.8,0.77,0.22,-0.07,0.71,0.94,0.7,-0.12,0.18,-0.01,-0.25,0.71,0.71,0.58,0.67,1,0.44,0.65,0.73,13.51%,1.36%,4.73%,16.38%,Vanguard Real Estate Index Investor
VNM,0.47,-0.05,0.15,0.35,0.44,0.58,0.34,0.2,0.1,-0.24,0.49,0.53,0.56,0.06,-0.1,0.49,0.49,0.55,-0.16,0.09,-0.05,-0.24,0.54,0.43,0.47,0.53,0.44,1,0.54,0.33,-0.67%,1.59%,6.78%,23.49%,VanEck Vietnam ETF
VPACX,0.65,-0.06,0.22,0.48,0.86,0.83,0.49,0.24,0.12,-0.34,0.75,0.79,0.83,0.13,-0.15,0.73,0.75,0.89,-0.21,0.13,-0.08,-0.37,0.77,0.68,0.67,0.82,0.65,0.54,1,0.54,6.77%,1.02%,3.99%,13.83%,Vanguard Pacific Stock Index Investor
VPU,0.42,0.07,0.15,0.25,0.47,0.5,0.41,0.22,0.12,-0.14,0.56,0.63,0.66,0.21,-0.06,0.6,0.7,0.55,-0.05,0.13,-0.02,-0.18,0.57,0.75,0.46,0.54,0.73,0.33,0.54,1,11.35%,1.09%,3.71%,12.85%,Vanguard Utilities ETF
